,ch,gain,gain_err,intercept,intercept_err
0,0,3.5452290471289247,0.2050255242375715,3.552713683558001e-16,3.55271368356575e-17
1,1,3.7315402283441252,0.1836914058470192,-0.11755662893782712,0.01176272327174094
2,2,3.4906060489623996,0.17458572813246484,3.552713683558001e-16,3.55271368356575e-17
3,3,3.4831254577823794,0.17427630089300136,3.552713678800501e-16,3.55271368356575e-17
4,4,3.4831254577823794,0.17427630089300136,3.552713678800501e-16,3.55271368356575e-17
5,5,3.429817714389175,0.1746699589045905,0.1176211799216832,0.01176248559462573
6,6,3.452625607823607,0.16687818730929552,-0.235548899866308,0.02350877066236487
7,7,3.453502539778649,0.16972708397861483,-0.11770832339959056,0.01176226035591286
8,8,3.3627673018334336,0.16518402947587588,-0.1176064949915141,0.01176217636505377
9,9,3.366603350558317,0.16837338435395516,3.552713678800501e-16,3.55271368356575e-17
10,10,3.3257086179149993,0.16628883123426325,3.552713678800501e-16,3.55271368356575e-17
11,11,3.3108173725810017,0.16256387168744166,-0.11766734196219977,0.01176203883370002
12,12,3.1611564989687064,0.16123245430484015,0.11772638242840598,0.01176223971528923
13,13,3.3632890330150347,0.16244326940278725,-0.23512220353155683,0.0235080421066391
14,14,3.1665718903824596,0.16489777116014176,0.23545008157547836,0.02351101541034273
15,15,3.1348099225843002,0.15683209341827517,3.552713678800501e-16,3.55271368356575e-17
16,16,3.5264545982691176,0.17337440709763094,-0.11772037600788281,0.011762261716431629
17,17,3.4553491422932128,0.1759820868982761,0.11759039112459527,0.01176250354115753
18,18,3.47859829961626,0.16820168548122041,-0.23590283714566182,0.0235076970498263
19,19,3.361702105922853,0.17122270887141813,0.11768325980766758,0.01176243205689014
20,20,3.397218106214421,0.16995067275864867,3.552713678800501e-16,3.55271368356575e-17
21,21,3.3113676987614253,0.16872444918708557,0.11762861331940096,0.01176231507852176
22,22,3.333433253556599,0.1698331909647795,0.11761781763424839,0.01176232414784298
23,23,3.3257086179149993,0.16628883123426325,3.552713678800501e-16,3.55271368356575e-17
24,24,3.3329842415075523,0.1666535876254919,3.552713678800501e-16,3.55271368356575e-17
25,25,3.301233665595801,0.16208699595603912,-0.11765749409534594,0.01176203189478401
26,26,3.301372984740584,0.16506986554202724,3.552713678800501e-16,3.55271368356575e-17
27,27,3.0000329879851915,0.15357983595069613,0.1173011907649499,0.01176152650962437
28,28,2.980519362863562,0.1493370070118865,3.552713678800501e-16,3.55271368356575e-17
29,29,2.970332702241384,0.1554314502661209,0.23413197835758778,0.023505223770857182
30,30,3.128943648282588,0.15360771558658834,-0.11753265915791744,0.01176193137732805
31,31,2.8823719990295156,0.16660478639636728,3.552713683558001e-16,3.55271368356575e-17
32,32,2.520434826278197,0.1466247891551434,0.029405243544641902,0.00294112746442884
33,33,2.6965490678300386,0.13287948803636923,-0.07650128104984395,0.0076459504066137
34,34,2.6061547267365386,0.13110620483034968,0.02940542090348982,0.00294111264106564
35,35,2.7372452656312585,0.13763505662509762,0.02941333319590006,0.00294112018645954
36,36,2.6773575225811665,0.1346534467512357,0.029408486531030398,0.0029411168842961
37,37,2.57728206774535,0.12992094483999655,0.02938751160611507,0.0029411055769583802
38,38,2.779782675298128,0.13708498650227713,-0.07644175176730156,0.00764607632742092
39,39,2.7346064796524816,0.1375396541224606,0.02941142750811802,0.00294112062616781
40,40,2.8050784920534815,0.14104325526635575,0.02940788830410649,0.0029411214598299
41,41,2.701002390948754,0.1232789769444425,0.117658114462255,0.01176031526463944
42,42,2.681751771974444,0.134889063261205,0.02941529372445368,0.00294111969315175
43,43,2.724959850323814,0.13438529730294038,-0.07641446379769815,0.0076460602644891195
44,44,2.681184147811007,0.13485352172917403,0.029407644443863103,0.0029411172352541903
45,45,2.677567362052348,0.13766071013450437,0.13506135124363186,0.013523696619238409
46,46,2.728768264214206,0.1372493454304537,0.02940493982305039,0.00294111789155389
47,47,2.6668781561341057,0.13711625228063906,0.1350766756715968,0.01352368873015942
48,48,2.4571441546480774,0.1239001514203603,0.02938562040119676,0.00294109916807854
49,49,2.6876646444019245,0.1351645424649635,0.029415942605170147,0.00294111954374886
50,50,2.7171920522585924,0.13663327435708508,0.02941426037814146,0.00294111994293069
51,51,2.646075117756781,0.13309143316321304,0.029410213036235228,0.00294111653367732
52,52,2.6348588159465716,0.13564335008479095,0.13492905698225705,0.01352337310871508
53,53,2.8613376621476987,0.14117099313055514,-0.07642920562028396,0.0076461389190981
54,54,2.6751051274464492,0.1345414861211683,0.0294084409510868,0.00294111695973493
55,55,2.6885160260895473,0.13521008393838613,0.02940828605629462,0.0029411169714741
56,56,2.8043772404362075,0.13827320637029802,-0.07649846706903032,0.007646033563970959
57,57,2.994879705895993,0.14530022537760834,-0.18217964739923076,0.018223134017031052
58,58,2.8241662891839523,0.1421088128722482,0.029398241376852968,0.0029411195117125697
59,59,2.9612297287047675,0.1488870388272296,0.029406313434443186,0.00294112579886671
60,60,2.91407608370032,0.1467677578420886,0.029390703140399772,0.00294112149979968
61,61,2.946695852778437,0.14824973721309903,0.029397885609888808,0.00294112393698446
62,62,2.8324909910194473,0.14243522212635046,0.029404902091949868,0.00294112226923528
63,63,3.099788792621625,0.1800185011087746,0.029410360004946103,0.0029411447451344
64,64,3.5514330542452974,0.2021818915458669,-0.08335869715115277,0.00833276111746801
65,65,3.4768177935550484,0.17177567574671482,-0.08340715736609575,0.00833246189346487
66,66,3.587638909290635,0.1772655312689177,-0.08336092121073768,0.008332518038472039
67,67,3.676074245664823,0.1816904080881876,-0.08332823000975906,0.00833257497559102
68,68,3.5510929363365866,0.1844693730771192,0.2498125023108598,0.024980883547253398
69,69,3.7169948134819593,0.1837691091144324,-0.0832991091909084,0.00833262736073726
70,70,3.680933625353794,0.18199642687802675,-0.08328194398003493,0.00833261826341966
71,71,3.5308606596867014,0.1834415604826298,0.24984853354590802,0.02498089786669587
72,72,3.5370682925673314,0.1748136686343592,-0.08341328907497603,0.00833246254324302
73,73,3.570632053360989,0.18079847341441674,0.08329899577113078,0.0083325810927196
74,74,3.569040750686952,0.17634405161581682,-0.08336987254290312,0.00833252474227541
75,75,3.530036206212644,0.17874169724807687,0.08331560462248709,0.00833257366462603
76,76,3.510368048533877,0.17773414763557743,0.08332721365908882,0.0083325661152528
77,77,3.510368048533877,0.17773414763557743,0.08332721365908882,0.0083325661152528
78,78,3.5,0.17721014141496308,0.08333333333333356,0.008332562206051119
79,79,3.3221239341533804,0.168427639334636,0.08326173802509082,0.00833243837328886
80,80,2.9791784528311456,0.13159248389949268,-0.08331179972768903,0.00833190507709273
81,81,2.7824740130468775,0.12624812306930475,0.08324923905675655,0.008331757208136701
82,82,3.0000000000000004,0.1294682320176503,-0.24999999999999964,0.024958360411910067
83,83,2.9895184795872822,0.14736235465235217,-0.08332415692680896,0.00833219018954905
84,84,2.9099172506308086,0.13206256796369606,0.08318757786855004,0.008331801910550319
85,85,3.0,0.15221657452737358,0.08333333333333356,0.0083322901141577
86,86,2.9940800391095843,0.13564758112753128,0.08334048022642991,0.00833203096805543
87,87,2.798988402244112,0.13108463656710373,0.24811421941802642,0.02495873669540291
88,88,3.028918646420378,0.14933746643336793,-0.08335865116742328,0.00833221709394894
89,89,3.0298445101630422,0.1537432718674505,0.0833095145850711,0.00833230789709832
90,90,3.175916180422315,0.15669161282568872,-0.08332645325000108,0.00833231006473415
91,91,3.0702703306095787,0.15579587063358552,0.08328714693090558,0.00833231960496404
92,92,3.0806198904759827,0.156507611024477,0.08320142044917488,0.008332255193487589
93,93,3.189472260754484,0.15736847954404007,-0.08333376094865308,0.00833231379151885
94,94,3.108323123902789,0.182546510437967,0.08328716817150247,0.00833262041583107
95,95,2.73844091719831,0.155752646579315,-0.08352036015919248,0.00833233533982181
96,96,3.0,0.17962095446391668,0.175,0.01749343249650735
97,97,2.9340846940326943,0.15148260257581908,0.17506545780991162,0.01749071124666189
98,98,3.0,0.17409238010258818,0.025,0.00249997936510856
99,99,2.897238528991288,0.1455417229509982,0.02500437999657883,0.00249997015226559
100,100,3.024343788931848,0.15599855087216724,0.1749444904594127,0.01749083026979572
101,101,2.8501153790342117,0.14744950053646982,0.1746886048346068,0.01748917352083568
102,102,2.940996916890129,0.1477361400846323,0.025001626729461667,0.0024999706505289
103,103,2.9547394939015406,0.14840502040042675,0.0250027605439902,0.00249997047698131
104,104,2.9804434167736322,0.14968439732861796,0.02500145097479748,0.00249997066088874
105,105,3.0181483658046533,0.15157332788173347,0.02499865350350287,0.00249997128906786
106,106,2.9547394939015406,0.14840502040042675,0.0250027605439902,0.00249997047698131
107,107,2.97363015449157,0.14935110609609037,0.02500135137370501,0.0024999707615236703
108,108,3.0238695039104155,0.1518656424363847,0.02499877676113902,0.00249997117203596
109,109,3.034989826618053,0.15244189514508108,0.02499740397247934,0.00249997157328828
110,110,3.018665094109747,0.15571048672078058,0.17493756066754582,0.01749086772931601
111,111,3.0181483658046533,0.15157332788173347,0.02499865350350287,0.00249997128906786
112,112,2.897238528991288,0.1455417229509982,0.02500437999657883,0.00249997015226559
113,113,2.876239338700347,0.1487644312992524,0.17461784220188312,0.01748925524315635
114,114,2.8386875046800037,0.14267135589916163,0.02499183906851371,0.0024999659865809
115,115,2.9547394939015406,0.14840502040042675,0.0250027605439902,0.00249997047698131
116,116,2.93453007448106,0.1474156674572809,0.025001529136631902,0.00249997076594142
117,117,2.9556817015092753,0.14468158695935202,-0.12492610381903846,0.01249600873448374
118,118,2.940996916890129,0.1477361400846323,0.025001626729461667,0.0024999706505289
119,119,2.8417472507420873,0.147001019156427,0.17463164114808447,0.01748925290248425
120,120,2.9346939787672492,0.15180645768335777,0.1744199932104597,0.017489563829882402
121,121,2.881436781591572,0.14907985965414738,0.17450192557233676,0.01748944704738975
122,122,3.042610832850655,0.1528060882345956,0.02499739310168353,0.0024999714944467797
123,123,2.9346939787672492,0.15180645768335777,0.1744199932104597,0.017489563829882402
124,124,3.0178614798773196,0.1558002479758391,0.17483184940504426,0.01749101863871384
125,125,3.0436213654255075,0.1569781430297486,0.17488032878018442,0.01749092740751746
126,126,3.0994680591443933,0.15979730073242532,0.17481092521048136,0.01749102099777229
127,127,2.973120671427241,0.1538382822716113,0.1742973892463017,0.01748975058850041
