Name,Size,Layer,Bar,Position,Asic,Channel
PST_A,3,1,1,12,0,22
PST_A,3,1,2,12,0,13
PST_A,3,1,3,12,0,12
PST_A,3,3,1,12,0,21
PST_A,3,3,2,12,0,14
PST_A,3,3,3,12,0,15
PST_A,3,5,1,12,0,20
PST_A,3,5,2,12,0,3
PST_A,3,5,3,12,0,2
PST_A,3,7,1,12,0,23
PST_A,3,7,2,12,0,11
PST_A,3,7,3,12,0,10
PST_A,3,2,1,12,0,16
PST_A,3,2,2,12,0,17
PST_A,3,2,3,12,0,18
PST_A,3,4,1,12,0,19
PST_A,3,4,2,12,0,0
PST_A,3,4,3,12,0,1
PST_A,3,6,1,12,0,6
PST_A,3,6,2,12,0,5
PST_A,3,6,3,12,0,4
PST_A,3,8,1,12,0,9
PST_A,3,8,2,12,0,8
PST_A,3,8,3,12,0,7
PST_B,1,1,1,56,1,23
PST_B,1,1,2,56,1,22
PST_B,1,1,3,56,1,21
PST_B,1,3,1,56,1,19
PST_B,1,3,2,56,1,18
PST_B,1,3,3,56,1,10
PST_B,1,5,1,56,1,7
PST_B,1,5,2,56,1,8
PST_B,1,5,3,56,1,9
PST_B,1,7,1,56,1,2
PST_B,1,7,2,56,1,3
PST_B,1,7,3,56,1,4
PST_B,1,2,1,56,1,15
PST_B,1,2,2,56,1,16
PST_B,1,2,3,56,1,17
PST_B,1,4,1,56,1,14
PST_B,1,4,2,56,1,20
PST_B,1,4,3,56,1,11
PST_B,1,6,1,56,1,13
PST_B,1,6,2,56,1,5
PST_B,1,6,3,56,1,6
PST_B,1,8,1,56,1,12
PST_B,1,8,2,56,1,0
PST_B,1,8,3,56,1,1